Date,Magnitude
18/12/2020,375
08/01/2021,419
22/01/2021,352
08/02/2021,362
17/02/2021,291
26/02/2021,298
14/03/2021,334
24/03/2021,273
15/04/2021,342
28/04/2021,317
05/05/2021,309
18/05/2021,318
26/05/2021,390
10/06/2021,313
19/06/2021,324
06/07/2021,273
18/07/2021,632
25/07/2021,647
02/08/2021,726
20/08/2021,460
03/09/2021,352
14/09/2021,366
24/09/2021,610
10/10/2021,670
20/10/2021,220
30/10/2021,552
10/11/2021,531
19/11/2021,367
28/11/2021,592
05/12/2021,443
30/12/2021,582
07/01/2022,604
13/01/2022,194
25/01/2022,592
08/02/2022,398
17/02/2022,546
24/02/2022,425
05/03/2022,670
20/03/2022,562
06/04/2022,702
14/04/2022,639
19/04/2022,574
16/05/2022,539
06/06/2022,552
20/06/2022,464
02/07/2022,658
11/07/2022,748
29/07/2022,497
12/08/2022,539
27/08/2022,464
07/09/2022,316
14/09/2022,526
28/09/2022,265
02/10/2022,768
